Flight Number,Launch Site,class,Payload Mass (kg),Booster Version Category,Booster Version
1,CCAFS SLC 40,0,6104.959412,v1.0,Falcon 9 v1.0  B0003
2,CCAFS SLC 40,0,525.0,v1.0,Falcon 9 v1.0  B0004
3,CCAFS SLC 40,0,677.0,v1.0,Falcon 9 v1.0  B0005
4,CCAFS SLC 40,0,500.0,v1.0,Falcon 9 v1.0  B0006
5,CCAFS SLC 40,0,3170.0,v1.0,Falcon 9 v1.0  B0007
6,CCAFS SLC 40,0,3325.0,v1.1,Falcon 9 v1.1  B1003
7,CCAFS SLC 40,1,3170.0,v1.1,Falcon 9 v1.1  B1004
8,CCAFS SLC 40,1,2395.0,v1.1,Falcon 9 v1.1  B1005
9,CCAFS SLC 40,0,1952.0,v1.1,Falcon 9 v1.1  B1006
10,CCAFS SLC 40,0,1898.0,v1.1,Falcon 9 v1.1  B1007
11,CCAFS SLC 40,0,1952.0,v1.1,Falcon 9 v1.1  B1008
12,CCAFS SLC 40,0,2034.0,v1.1,Falcon 9 v1.1  B1009
13,CCAFS SLC 40,1,2395.0,v1.1,Falcon 9 v1.1  B1010
14,CCAFS SLC 40,0,4159.0,v1.1,Falcon 9 v1.1  B1011
15,CCAFS SLC 40,0,1898.0,FT,Falcon 9 FT  B1012
16,CCAFS SLC 40,0,3170.0,FT,Falcon 9 FT  B1013
17,CCAFS SLC 40,1,4707.0,FT,Falcon 9 FT  B1014
18,CCAFS SLC 40,0,2034.0,FT,Falcon 9 FT  B1015
19,CCAFS SLC 40,1,1952.0,FT,Falcon 9 FT  B1016
20,CCAFS SLC 40,1,4159.0,FT,Falcon 9 FT  B1017
21,KSC LC 39A,1,2395.0,FT,Falcon 9 FT  B1018
22,CCAFS SLC 40,1,4707.0,FT,Falcon 9 FT  B1019
23,KSC LC 39A,1,4159.0,FT,Falcon 9 FT  B1020
24,VAFB SLC 4E,1,3170.0,FT,Falcon 9 FT  B1021.2
25,KSC LC 39A,0,6761.0,FT,Falcon 9 FT  B1022
26,CCAFS SLC 40,1,3325.0,FT,Falcon 9 FT  B1023.2
27,KSC LC 39A,1,1952.0,FT,Falcon 9 FT  B1024
28,CCAFS SLC 40,0,4707.0,FT,Falcon 9 FT  B1025.1
29,CCAFS SLC 40,1,4159.0,FT,Falcon 9 FT  B1026
30,VAFB SLC 4E,1,2034.0,FT,Falcon 9 FT  B1028.1
31,KSC LC 39A,0,3170.0,FT,Falcon 9 FT  B1029.2
32,VAFB SLC 4E,1,1952.0,FT,Falcon 9 FT  B1030
33,KSC LC 39A,1,4707.0,FT,Falcon 9 FT  B1031.2
34,CCAFS SLC 40,1,6761.0,FT,Falcon 9 FT  B1032.2
35,KSC LC 39A,0,3325.0,B4,Falcon 9 B4  B1034
36,VAFB SLC 4E,1,2034.0,B4,Falcon 9 B4  B1036.1
37,KSC LC 39A,1,4159.0,B4,Falcon 9 B4  B1037
38,CCAFS SLC 40,1,3170.0,B4,Falcon 9 B4  B1038.1
39,VAFB SLC 4E,1,1898.0,B4,Falcon 9 B4  B1039.1
40,CCAFS SLC 40,1,6761.0,B4,Falcon 9 B4  B1040.1
41,CCAFS SLC 40,1,4707.0,B4,Falcon 9 B4  B1041.1
42,KSC LC 39A,1,3325.0,B5,Falcon 9 B5  B1042.1
43,CCAFS SLC 40,1,2034.0,B5,Falcon 9 B5  B1043.1
44,CCAFS SLC 40,1,4159.0,B5,Falcon 9 B5  B1044
45,KSC LC 39A,1,3170.0,B5,Falcon 9 B5  B1045.1
46,VAFB SLC 4E,0,6761.0,B5,Falcon 9 B5  B1046.1
47,CCAFS SLC 40,0,1952.0,B5,Falcon 9 B5  B1047.1
48,CCAFS SLC 40,0,4707.0,B5,Falcon 9 B5  B1048.1
49,KSC LC 39A,1,3325.0,B5,Falcon 9 B5  B1049.1
50,CCAFS SLC 40,1,2034.0,B5,Falcon 9 B5  B1050
51,VAFB SLC 4E,0,4159.0,B5,Falcon 9 B5  B1051.1
52,KSC LC 39A,0,3170.0,B5,Falcon 9 B5  B1054
53,CCAFS SLC 40,1,6761.0,B5,Falcon 9 B5  B1056.1
54,VAFB SLC 4E,1,1952.0,B5,Falcon 9 B5  B1058.1
55,KSC LC 39A,1,4707.0,B5,Falcon 9 B5  B1059.1
56,CCAFS SLC 40,1,3325.0,B5,Falcon 9 B5  B1060.1
